city,store,address,zip,phone,self_checkout,lat,lng
Attleboro,CVS Pharmacy #1864,191 N Main Street,02703,(508)222-0880,,41.9495164,-71.28886740000002
Attleboro,CVS Pharmacy #1896,486 Pleasant Street,02703,(508)222-6020,,41.9524774,-71.27168809999999
Attleboro,"Seabra Foods VI, Inc.",217 S Main Street,02703,(508)226-0606,,41.9347925,-71.2859129
Attleboro,Stop & Shop #443,251 Washington Street,02703,(508)399-6019,Yes,41.92343959999999,-71.3574678
Attleboro,Super Stop & Shop (F&P) #432,469 Pleasant Street,02703,(508)226-2400,Yes,41.9510559,-71.27145879999999
Attleboro,Walgreens #3020,196 Pleasant Street,02703,(508)222-7779,,41.9513581,-71.2739181
Auburn,CVS Pharmacy #708,676 Southbridge Street,01501,(508)832-6257,,42.18532769999999,-71.8577707
Auburn,Park 'n Shop,711 Southbridge Street,01501,(508)832-5841,,42.1821666,-71.8594493
Auburn,Shaw's Supermarket #4471,368 Southbridge Street,01501,(508)832-0440,Yes,42.2059728,-71.8379007
Auburndale,Star Market #4568,2040 Commonwealth Ave,02466,(617)965-1793,Yes,42.3469722,-71.2448227
Avon,Walmart Store (F&P) #2122,30 Memorial Drive,02322,(508)427-9460,Yes,42.1211388,-71.0300784
Ayer,Ayer Shop'n Save LLC,22 Fitchburg Road,01432,(978)796-5261,,42.5709747,-71.5961548
Barre,Wholesome Farmers Market Inc.,596 Summer Street,01005,(978)257-8107,,42.4089711,-72.0987318
Bedford,CVS Pharmacy #736,199 Great Road,01730,(781)275-3607,,42.4890425,-71.272526
Bedford,Super Stop & Shop (F&P) #088,337 Great Road,01730,(781)271-9400,Yes,42.4842516,-71.2623735
Bedford,Hanscom Air Force Commissary,1709A Griffiss Street,01731,(781)377-4210,,42.4630869,-71.2875044
Belchertown,CVS Pharmacy #1230,151 North Main Street,01007,(413)323-9621,,42.2884488,-72.4074132
Belchertown,Super Stop & Shop (F&P) #435,40 George Hannum Road,01007,(413)323-6546,Yes,42.2897204,-72.4118063
Bellingham,Market Basket #54,274 Hartford Ave,02019,(508)966-3044,,42.1166116,-71.46240279999999
Bellingham,Super Stop & Shop (F&P) #430,70 Pulaski Blvd.,02019,(508)883-2179,Yes,42.0195114,-71.4984437
Bellingham,Walmart Store #1918,250 Hartford Ave,02019,(508)966-7633,Yes,42.1162398,-71.4652856
Belmont,Star Market  (F&P) #2583,535 Trapelo Road,02478,(617)489-6540,Yes,42.3885509,-71.191152
Beverly,CVS Pharmacy #915,19 Dodge Street,01915,(978)927-0060,,42.5774649,-70.8894279
Beverly,Shaw's Supermarket #4496,71 Dodge Street,01915,(978)232-9104,Yes,42.5771047,-70.8884084
Beverly,Stop & Shop #032,37 Enon Street,01915,(978)921-0920,Yes,42.58644630000001,-70.88390079999999
Beverly,Stop & Shop #081,224 Elliott Street,01915,(978)232-0021,Yes,42.5548364,-70.8864266
Billerica,CVS Pharmacy #183,700 Boston Road,01821,(978)667-7666,,42.5393501,-71.24332609999999
Billerica,Market Basket #7,700 Boston Road,01821,(978)663-2861,,42.5393501,-71.24332609999999
Billerica,Walgreens #18952,467 Boston Road,01821,(978)663-4900,,42.5523471,-71.26466429999999
Billerica,Market Basket #44,199 Boston Road,01862,(978)667-8199,,42.5809851,-71.28927689999999
Blackstone,CVS Pharmacy #1225,22 Main Street,01504,(508)883-8800,,42.0171774,-71.52912239999999
Boston,Star Market #3696,90 Causeway Street,02114,(857) 409-3403,Yes,42.3659567,-71.0618008
Boston,Whole Foods Market,181 Cambridge Street,02114,(617)723-0004,,42.362128,-71.06558249999999
Boston,Foodies Urban Market,1421 Washington Street,02118,(617)266-9911,,42.341141,-71.07080839999999
Boston,Shawmut Grocery,614 Shawmut Ave,02118,(617)442-5964,,42.335498,-71.0805559
Boston,Walgreens #6072,1603 Washington Street,02118,(617)267-5109,,42.3382823,-71.0750709
Boston,Whole Foods Market INK Block,348 Harrison Ave,02118,(617)904-1000,,42.34541189999999,-71.0626906
Boston,Tropical Foods,450 Melnea Cass Blvd,02119,(617)442-7439,,42.3331996,-71.0823686
Boston,Stop & Shop #412,1620 Tremont Street,02120,(617)232-3572,Yes,42.3333386,-71.10409469999999
Boston,Chamas Mart & Convenience Store,198 Humboldt Ave,02121,(617)427-1430,,42.3126958,-71.08965529999999
Boston,CVS Pharmacy #720,2235 Dorchester Ave,02124,(617)296-1027,,42.273901,-71.067634
Boston,Morton Market,761 Morton Street,02126,(617)690-3137,,42.2833715,-71.0893936
Boston,Walgreens #3135,825 Morton Street,02126,(617)298-3114,,42.2815062,-71.0877526
Boston,America's Food Basket,942 Hyde Park Ave,02136,(617)333-4330,,42.2675548,-71.1197852
Boston,Star Market #0602,53 Huntington Ave,02199,(617)262-4688,Yes,42.3478421,-71.0793972
Boston,Star Market (F&P) #3588,1065 Commonwealth Avenue,02215,(617)783-5878,Yes,42.3526094,-71.12349840000002
Boston,Star Market #2576,33 Kilmarnock Street,02215,(617)267-4684,Yes,42.3435518,-71.1004557
Bourne,Market Basket #69,1 Factory Outlet Way,02561,(508)833-7333,,41.7709827,-70.5459443
Braintree,CVS Pharmacy #1297,270 Grove Street,02184,(781)356-0714,,42.1915893,-70.9867683
Braintree,Shaw's Supermarket #1404,125 Pearl Street,02184,(781)356-4467,Yes,42.20108889999999,-71.0002808
Braintree,Super Stop & Shop (F&P) #478,300 Grove Street,02184,(781)356-1730,Yes,42.1909327,-70.9865657
Braintree,Target Store T-2693,250 Granite Street,02184,(781)817-8809,Yes,42.2191577,-71.0254968
Braintree,Walgreens #17228,11 Pearl Street,02184,(781)356-3337,,42.2018384,-71.0045635
Bridgewater,Roche Bros Supermarkets #110,20 Broad Street,02324,(508)697-5077,,41.9890195,-70.974284
Brighton,CVS Pharmacy #1889,427 Washington Street,02135,(617)783-2577,,42.3494347,-71.1563987
Brighton,CVS Pharmacy #3890,207 Market Street,02135,(617)254-0358,,42.3557761,-71.1501877
Brighton,Star Market (F&P) #4572,370 Western Avenue,02135,(617)787-5266,Yes,42.3612174,-71.1372629
Brockton,America's Food Basket,1650 Main Street,02301,(508)510-3085,,42.05286570000001,-71.01049619999999
Brockton,America's Food Basket,21 Torrey Street,02301,(508)510-4963,,42.0751236,-71.0442053
Brockton,CVS Pharmacy #1006,316 North Pearl Street,02301,(508)580-0605,,42.0997511,-71.06718719999999
Brockton,CVS Pharmacy #1007,1267 Main Street,02301,(508)587-0235,,42.06042540000001,-71.0149381
Brockton,CVS Pharmacy #1248,240 Oak Street,02301,(508)588-4610,,42.10037639999999,-71.0347349
Brockton,CVS Pharmacy #1250,555 Belmont Street,02301,(508)586-7988,,42.0742346,-71.0420666
Brockton,Market Basket #68,200 Westgate Drive,02301,(508)586-5757,,42.0946605,-71.05200529999999
Brockton,Shaws Supermarket (F&P) #1429,641 Belmont Street,02301,(508)588-7746,Yes,42.0715402,-71.0461559
Brockton,Super Stop & Shop (F&P) #055,932 North Montello Street,02301,(508)427-0537,Yes,42.1089483,-71.0256332
Brockton,Vicente's Tropical Grocery,689 Main Street,02301,(508)580-0296,,42.0714238,-71.0192294
Brockton,Vicente's Supermarket,160 Pleasant Street,02301,(508)857-4143,,42.0851166,-71.0245781
Brockton,Walgreens #2977,1101 Main Street,02301,(508)580-3164,,42.0637805,-71.0162431
Brockton,Walgreens #3758,610 Pleasant Street,02301,(508)427-6223,,42.0888531,-71.0446676
Brockton,Walmart Store (F&P) #2904,700 Oak Street,02301,(508)584-2333,Yes,42.0981889,-71.056849
Brockton,CVS Pharmacy #861,355 Centre Street,02302,(508)559-8084,,42.0834187,-71.0057047
Brockton,Shaw's Supermarket #4407,715 Crescent Street,02302,(508)583-2581,Yes,42.07946510000001,-70.99108679999999
Brockton,Price-Rite #378,240 E Ashland Street,02302,(508)584-4472,,42.0952609,-71.0090568
Brookline,Star Market #3566,1717 Beacon Street,02445,(617)566-1802,Yes,42.3376788,-71.1391886
Brookline,Stop & Shop #001,155 Harvard Street,02446,(617)566-4559,Yes,42.3375564,-71.12117669999999
Brookline,The Butcherie,428 Harvard Street,02446,(617)731-9888,,42.3455698,-71.1277231
Brookline,Walgreens #3564,99 Harvard Street,02446,(617)731-4536,,42.3363308,-71.1205281
Burlington,Market Basket #24,43 Middlesex Turnpike,01803,(781)273-3673,,42.4701443,-71.20834599999999
Burlington,Shaws Supermarket (F&P) #0495,180 Cambridge Street,01803,(781)221-3002,Yes,42.5112475,-71.1986507
Burlington,Wegmans Food Markets #59,53 Third Avenue,01803,(781)418-0700,Yes,42.4875085,-71.22598150000002
Cambridge,CVS Pharmacy #1022,215 Alewife Brook Pkwy,02138,(617)661-6422,,42.3898516,-71.14376229999999
Cambridge,Walgreens #17165,1740 Massachusetts Ave,02138,(617)876-7662,,42.3846204,-71.119762
Cambridge,Star Market (F&P) #2565,699 Mt Auburn Street,02138,(617)876-1450,Yes,42.37538989999999,-71.14913539999999
Cambridge,CVS Pharmacy #1002,624 Massachusetts Ave,02139,(617)876-7868,,42.3651,-71.10367719999999
Cambridge,Whole Foods Market,115 Prospect Street,02139,(617)492-0070,,42.3680663,-71.102386
Cambridge,Whole Foods Market,340 River Street,02139,(617)876-6990,,42.36100709999999,-71.1139362
Cambridge,Walgreens #19487,330 River Street,02139,(617)492-9030,,42.3617632,-71.1139048
Cambridge,Star Market #0163,49 White Street,02140,(617)492-5566,Yes,42.3898901,-71.1179859
Canton,Shaw's Supermarket #0428,95 Washington Street,02021,(781)828-1446,Yes,42.1396013,-71.1460443
Canton,Walgreens #3062,595 Washington Street,02021,(781)828-2375,,42.1531873,-71.14523989999999
Carver,Shaw's Supermarket #1632,100 North Main St,02330,(508)866-2168,Yes,41.923443,-70.806392
Charlestown,CVS Pharmacy #1009,21 Austin Street,02129,(617)242-2950,,42.3759587,-71.0654926
Charlestown,Whole Foods Market,51 Austin Street,02129,(617)337-9700,,42.3756391,-71.06599489999999
Chelmsford,Hannaford Food & Drug #8191,66-2 Drum Hill Road,01824,(978)459-9304,,42.6230477,-71.3607152
Chelmsford,Market Basket #4,288 Chelmsford Street,01824,(978)256-0221,,42.6136866,-71.3323341
Chelmsford,Stop & Shop #480,299 Chelmsford Street,01824,(978)250-4102,Yes,42.61148499999999,-71.3303658
Chelmsford,Walgreens #7220,86 Chelmsford Street,01824,(978)250-8170,,42.6018452,-71.3477085
Chelmsford,Walmart Store #2903,66 Parkhurst Road,01824,(978)459-1818,Yes,42.62304719999999,-71.3607268
Chelsea,CVS Pharmacy #109,1010 Revere Beach Parkway,02150,(617)884-1095,,42.4029938,-71.0234973
Chelsea,CVS Pharmacy #496,324 Broadway Street,02150,(617)889-1529,,42.3918084,-71.0363587
Chelsea,La Economica Meat Market,164 Park Street,02150,(617)466-0521,,42.3904943,-71.0355
Chelsea,Luna Llena Market LLC,149 Chestnut St,02150,(617)466-0656,,42.391089,-71.03864999999999
Chelsea,Market Basket #32,170 Everett Ave,02150,(617)884-0646,,42.3965051,-71.0423
Chelsea,Merengue Market II,891 Broadway,02150,(617)466-1267,,42.399479,-71.0223634
Chelsea,One Stop Market,138 Central Ave,02150,(617)889-6598,,42.3891281,-71.0302294
Chelsea,"Opped Inc., dba Stop and Compare",153 Hawthorn Street,02150,(617)884-3552,,42.3920117,-71.0342021
Chelsea,Sully's Variety Store,890 Broadway,02150,(617)889-1899,,42.3996772,-71.022639
Chelsea,Walgreens #3759,1010 Broadway,02150,(617)884-0917,,42.4029231,-71.0194422
Chelsea,Yogi's Variety,698 Broadway,02150,(617)884-2222,,42.3959809,-71.0287713
Chestnut Hill,Star Market #0645,1 Boylston Street,02467,(617)232-3854,Yes,42.3239473,-71.1661568
Chestnut Hill,Wegmans Food Markets #124,200 Boylston Street,02467,(617)762-2000,Yes,42.31913429999999,-71.1756718
Chicopee,New Corner Variety,1175 Grattan Street,01013,(413)538-6111,,42.1826914,-72.6113359
Chicopee,Fruit Fair,398 Front Street,01013,(413)693-8958,,42.147866,-72.60179529999999
Chicopee,Key Food,185 Exchange Street,01013,(413)331-0350,,42.1484722,-72.6099886
Chicopee,Walgreens #17673,577 Meadow Street,01013,(413)592-4696,,42.1709253,-72.6139395
Chicopee,Big Y Foods #52,650 Memorial Drive,01020,(413)593-0204,,42.17484959999999,-72.5800028
Chicopee,CVS Pharmacy #2339,1176 Granby Road,01020,(413)532-0991,,42.17464930000001,-72.5875792
Chicopee,CVS Pharmacy #693,1616 Memorial Drive,01020,(413)532-3299,,42.2023471,-72.572578
Chicopee,CVS Pharmacy #843,235 Center Street,01020,(413)594-8156,,42.1418119,-72.6110168
Chicopee,PriceRite #361,1600 Memorial Drive,01020,(413)538-7700,Yes,42.2007458,-72.5744118
Chicopee,Walmart Store (F&P) #5278,591 Memorial Drive,01020,(413)593-3192,Yes,42.1750461,-72.572373
Chicopee,Stop & Shop (F&P) #036,672 Memorial Drive,01021,(413)593-1111,Yes,42.1756769,-72.57701329999999
Clinton,CVS Pharmacy #920,792 Main Street,01510,(978)368-7631,,42.4259047,-71.6882126
Clinton,Hannaford Supermarket #8013,333 Brook Street,01510,(978)368-7909,,42.4245886,-71.68792669999999
Clinton,Shaw's Supermarket #0674,1175 Main Street,01510,(978)368-0306,Yes,42.4342509,-71.6843919
Clinton,Walgreens #11119,720 Main St,01510,(978)368-3484,,42.42302249999999,-71.6880146
Cohasset,Shaw's Supermarket #2445,739 Chief Justice Cushing,02025,(781)383-2315,Yes,42.2214977,-70.8047251
Cohasset,Super Stop & Shop (F&P) #482,400 Chief Justice Cushing,02025,(781)383-2101,Yes,42.2334051,-70.82035700000002
Danvers,CVS Pharmacy #2959,139 Endicott Street,01923,(978)646-8930,,42.5507456,-70.93310830000001
Danvers,Market Basket #23,139 Endicott Street,01923,(978)774-3683,,42.5507456,-70.93310830000001
Danvers,Stop & Shop #093,301 Newbury Street,01923,(978)762-4444,Yes,42.5851007,-70.9647675
Danvers,Target Store T-1187,240 Independence Way,01923,(978)762-4439,Yes,42.5531715,-70.9377758
Danvers,Walmart Store #2180,55 Brooksby Village Way,01923,(978)777-6977,Yes,42.5539423,-70.9685562
Danvers,Walgreens #9011,107 High Street,01923,(978)762-0049,,42.5586151,-70.9311811
Dartmouth,Shaw's Supermarket #0619,15 State Road,02747,(508)993-9995,Yes,41.6361645,-70.96159039999999
Dartmouth,Super Stop & Shop (F&P) #493,25 Faunce Corner Mall Rd,02747,(508)999-7200,Yes,41.6425758,-70.9861029
Dedham,Star Market #0426,795 Providence Highway,02026,(781)251-3367,Yes,42.2380258,-71.17876079999999
Dedham,Super Stop & Shop (F&P) #416,160 Providence Highway,02026,(781)329-1050,Yes,42.2580986,-71.1677206
Dedham,Whole Foods Market,300 Legacy Place,02026,(781)329-7100,,42.2328164,-71.17808529999999
Dorchester,Brother Supermarket,46 Washington St,02121,(617)445-2962,,42.3071208,-71.0821359
Dorchester,CVS Pharmacy #2592,468 Blue Hill Ave,02121,(617)427-7806,,42.3088004,-71.0818224
Dorchester,Glenway Market,90 Glenway St,02121,(617)506-7215,,42.3001651,-71.08220589999999
Dorchester,New Family Supermarket,205 Humboldt Ave,02121,(617)516-8566,,42.31286799999999,-71.0899281
Dorchester,"Paradise Market, Inc.",517 Warren St,02121,(617)652-8453,,42.3134011,-71.08378119999999
Dorchester,Stop & Shop #459,460 Blue Hill Ave,02121,(617)427-6752,Yes,42.3092045,-71.0810685
Dorchester,America's Food Basket,130 Bowdoin St,02122,(617)506-0559,,42.3039691,-71.07129239999999
Dorchester,America's Food Basket,217 Bowdoin St,02122,(617)282-7777,,42.3055081,-71.0674657
Dorchester,Brothers Supermarket,430 Geneva St,02122,(617)265-3931,,42.3005844,-71.0663747
Dorchester,CVS Pharmacy #2283,715 Morrissey Blvd.,02122,(617)822-1307,,42.2973666,-71.04982319999999
Dorchester,Dorchester Food Co-Operative,195 Bowdoin St,02122,(617)297-5943,,42.3047209,-71.0681855
Dorchester,Geneva Grocery,385 Geneva Ave,02122,(617)436-8451,,42.3013023,-71.0681853
Dorchester,Price-Rite #375,500 Geneva Ave,02122,(617)514-5539,,42.2990808,-71.0626837
Dorchester,Sobrinos Market,416 Geneva Ave,02122,(617)282-0160,,42.3009926,-71.06702469999999
Dorchester,Stop & Shop #018,545 Freeport St,02122,(617)265-2766,Yes,42.2926294,-71.0488482
Dorchester,America's Food Basket,576 Washington St,02124,(617)282-6200,,42.2915105,-71.0713423
Dorchester,Ashmont Food Mart,1921 Dorchester Ave,02124,(617)506-0029,,42.2851335,-71.0646998
Dorchester,CVS Pharmacy #11036,451 Washington St,02124,(617)740-0611,,42.2956723,-71.0724824
Dorchester,CVS Pharmacy #2282,703 Gallivan Blvd.,02124,(617)287-8292,,42.2832497,-71.0474551
Dorchester,Fernandez Cousins Grocery,1150 Blue Hill Ave,02124,(617)822-1662,,42.2850499,-71.0909509
Dorchester,Happy Supermarket Inc.,868 Blue Hill Ave,02124,(617)265-9359,,42.2952371,-71.0874961
Dorchester,Los Caballeros Market,796 Washington St,02124,(617)436-8453,,42.2836916,-71.0713738
Dorchester,Star Market #0604,4 River Street,02124,(617)298-1462,Yes,42.2718894,-71.0697406
Dorchester,Acropolis Supermarket,533 Columbia Rd,02125,(617)877-2213,,42.3156566,-71.06598009999999
Dorchester,Brothers Supermarket #2,776 Dudley St,02125,(617)265-4616,,42.3174943,-71.06571029999999
Dorchester,CVS Pharmacy #471,778 Dudley St,02125,(617)825-2572,,42.3174925,-71.06542499999999
Dorchester,Star Market (F&P) #4587,45 Morrissey Blvd.,02125,(617)265-1776,Yes,42.3184171,-71.0506125
Dorchester,Super Stop & Shop (F&P) #429,1100 Massachusetts Ave,02125,(617)541-4700,Yes,42.3254063,-71.0645253
Dorchester,First Choice Market,185 Howard Ave,02125,(617)445-4885,,42.3140195,-71.0755629
Dorchester,Target Store T-1898,7 Allstate Road,02125,(617)602-1921,Yes,42.3292815,-71.0633337
Dorchester,Tropical Grocery Store,67 Hancock St,02125,(617)326-6995,,42.3133444,-71.0653224
Dorchester,Walgreens #19437,1100 Dorchester Ave,02125,(617)282-3069,,42.31319389999999,-71.0565544
Dracut,CVS Pharmacy #632,4 Broadway Road,01826,(978)937-9995,,42.6714225,-71.2965134
Dracut,CVS Pharmacy #983,2019 Lakeview Ave,01826,(978)957-6550,,42.6834656,-71.3528249
Dracut,Hannaford Food & Drug #8192,301 Pleasant Street,01826,(978)459-0059,,42.6643737,-71.3118803
Dudley,Park 'n Shop,14 Airport Road,01571,(508)943-1352,,42.0423865,-71.91333019999999
Dudley,Walgreens #19240,5 Schofield Ave,01571,(508)949-0513,,42.0471197,-71.8900175
East Boston,Anthony's Market,407 Meridian Street,02128,(617)561-9322,,42.380462,-71.0390985
East Boston,CVS Pharmacy #1265,210 Border Street,02128,(617)567-5147,,42.3752392,-71.0407695
East Boston,Diana Market Inc.,170 Cottage Street,02128,(617)561-4334,,42.3701912,-71.03283259999999
East Boston,East Boston Market,290 Meridian Street,02128,(617)567-5667,,42.37682239999999,-71.039272
East Boston,El Condor Market,337 Paris Street,02128,(617)561-0355,,42.3775477,-71.0315341
East Boston,JK Market 2,232 Sumner Street,02128,(617)475-7685,,42.3686899,-71.0390171
East Boston,La Riqueza Market,132 Meridian Street,02128,(617)569-2800,,42.3736562,-71.0391903
East Boston,Orient Heights Food Mart,1016 Bennington Street,02128,(617)569-1388,,42.3871157,-71.0062476
East Boston,San Miguel Arcangel Market,317 Sumner Street,02128,(617)874-8784,,42.3673476,-71.03640899999999
East Boston,Sava's Market,150 Bennington Street,02128,(617)567-7832,,42.3770499,-71.0336617
East Boston,Shaw's #1208,246 Border Street,02128,(617)567-4116,Yes,42.3766408,-71.04041339999999
East Boston,Super Ahorros Market,300 Bennington St,02128,(617)874-1788,,42.3792042,-71.0282991
East Boston,Veronica's Market,160 Trenton Street,02128,(617)418-5037,,42.3801163,-71.0334558
East Boston,Walgreens #5756,1 Kelly Sq,02128,(617)569-5278,,42.374319,-71.03877810000002
East Bridgewater,CVS Pharmacy #1257,225 Bedford Street,02333,(508)378-1370,,42.0265834,-70.95950959999999
East Falmouth,CVS Pharmacy #1870,419 East Falmouth Highway,02536,(508)540-5913,,41.5777558,-70.5585649
East Falmouth,Shaw's (F&P) #0603,137 Tea Ticket Highway,02536,(508)457-6324,Yes,41.5643144,-70.5959094
East Longmeadow,Big Y Foods (F&P) #14,441 North Main Street,01028,(413)525-6374,,42.0800892,-72.5288478
East Longmeadow,CVS Pharmacy #769,217 North Main Street,01028,(413)525-4510,,42.072952,-72.5185252
East Longmeadow,Super Stop & Shop (F&P) #061,470 North Main Street,01028,(413)525-5747,Yes,42.077359,-72.5268121
East Wareham,CVS Pharmacy #1247,2992 Cranberry Highway,02538,(508)295-3880,,41.7601193,-70.6645264
East Wareham,Stop & Shop #474,2991 Cranberry Highway,02538,(508)291-1110,Yes,41.7579056,-70.6651158
Easthampton,Big E's Supermarket,11 Union Street,01027,(413)527-2125,,42.2704036,-72.67119699999999
Easthampton,CVS Pharmacy #2025,118 Northampton Street,01027,(413)527-1562,,42.2800626,-72.6714621
Easton,Big Y Foods #108,25 Robert Drive,02375,(508)422-9300,,42.0252118,-71.1413238
Easton,Roche Bros Supermarkets #116,20 Roche Bros. Way,02356,(508)230-8755,,42.0880786,-71.0947882
Edgartown,Stop & Shop #398 (Pharmacy only),245 Vineyard Haven Road,02539,(508)627-5107,Yes,41.4539711,-70.5737108
Edgartown,Stop & Shop #422,225 Upper Main Street,02539,(508)627-9522,Yes,41.3937405,-70.524913
Everett,Kim's Convenience Store,570 Broadway Street,02149,(617)389-4999,,42.3939744,-71.0323009
Everett,Santa Maria Market,451 Ferry Street,02149,(617)944-9000,,42.4182803,-71.05056370000001
Everett,Target Store T-1229,1 Mystic View Road,02149,(617)420-0000,Yes,42.3990625,-71.0721413
Everett,Walgreens #3496,317 Ferry Street,02149,(617)389-2188,,42.4142954,-71.0468518
Everett,Walgreens #17728,405 Broadway,02149,(617)387-0005,,42.4059641,-71.0559999
Fairhaven,CVS Pharmacy #610,10 Sarah's Way,02719,(508)999-0790,,41.6457116,-70.8971844
Fairhaven,Super Stop & Shop (F&P) #427,221 Huttleston Avenue,02719,(508)990-4500,Yes,41.6406312,-70.88000509999999
Fairhaven,Walmart Store #1906,42 Fairhaven Commons Way,02719,(508)993-8100,Yes,41.644992,-70.8879561
Fall River,CVS Pharmacy #207,1620 President Ave,02720,(508)672-2403,,41.7130261,-71.12749099999999
Fall River,CVS Pharmacy #2878,550 Pleasant Street,02720,(508)678-3945,,41.6993908,-71.1465425
Fall River,Shaw's Supermarket #1411,4171 North Main Street,02720,(508)677-0940,Yes,41.7508914,-71.12089929999999
Fall River,Fish River Corp dba Americas Food Basket,1658-1678 President Ave,02720,(508)679-0500,,41.7127265,-71.12687679999999
Fall River,CVS Pharmacy #20,245 William Canning Blvd.,02721,(508)678-9031,,41.6742623,-71.16221150000001
Fall River,Market Basket #83,600 William S Canning Blvd,02721,(774)294-5768,,41.6716631,-71.15610090000001
Fall River,"Seabra Foods IV, Inc.",440 Stafford Road,02721,(508)679-1021,,41.6823947,-71.1556204
Fall River,Super Stop & Shop (F&P) #071,501 Rodman Street,02721,(508)672-2177,Yes,41.6941023,-71.1528354
Fall River,Super Stop & Shop (F&P) #473,333 Marianno Bishop Blvd,02721,(508)675-0391,Yes,41.6742795,-71.1645322
Fall River,Walgreens #3469,369 Plymouth Ave,02721,(508)730-2902,,41.6960789,-71.1520425
Fall River,Walmart Store (F&P) #3560,638 Quequechan Street,02721,(508)730-2677,Yes,41.6862481,-71.1413148
Fall River,Walgreens #10802,328 Rhode Island Ave,02721,(508)324-9490,,41.6780169,-71.16197939999999
Fall River,CVS Pharmacy #1110,4171 North Main Street,02722,(508)677-3555,,41.7508914,-71.12089929999999
Fall River,PriceRite #332,866 Pleasant Strret,02723,(508)678-8167,Yes,41.69681,-71.1405276
Fall River,Amaral's Central Market,872 Globe Street,02724,(508)674-8042,,41.6855694,-71.16592469999999
Fall River,Sunset Variety Inc.,508 Bowen Street,02724,(508)673-2121,,41.6828852,-71.1825283
Falmouth,CVS Pharmacy #594,105 Davis Straights,02540,(508)540-1797,,41.5601251,-70.59872109999999
Falmouth,Super Stop & Shop (F&P) #425,20 Teaticket Highway,02536,(508)540-7476,Yes,41.5624521,-70.59955769999999
Falmouth,Walgreens #19592,520 Main St,02540,(508)495-2991,,41.5528449,-70.60822379999999
Feeding Hills,Super Stop & Shop (F&P) #782,1282 Springfield Street,01030,(413)789-2224,Yes,42.0679147,-72.67535409999999
Fitchburg,CVS Pharmacy #1882,57 Rollstone Road,01420,(978)342-8740,,42.56814809999999,-71.8138462
Fitchburg,CVS Pharmacy #505,161 Main Street,01420,(978)342-8941,,42.5823563,-71.79403289999999
